origin,destination,count
ABE,ATL,853
48113,40109,9
48113,40019,9
48121,48133,9
48121,48349,9
48133,48497,9
48133,48257,9
48133,48201,9
48135,35013,9
48135,48435,9
48135,48439,9
48139,48485,9
48141,48317,9
48157,48113,9
48183,48121,9
48187,48113,9
48187,48329,9
48201,48485,9
48201,48363,9
48203,22081,9
48207,48353,9
48213,48203,9
48227,48467,9
48227,48371,9
48229,48227,9
48251,48467,9
48257,48201,9
48257,48349,9
48309,48037,9
48309,48133,9
48329,48251,9
48329,48081,9
48329,48165,9
48337,48367,9
48343,48113,9
48353,48475,9
48353,48317,9
48367,48397,9
48367,48423,9
48367,48303,9
48371,48303,9
48371,48317,9
48423,48497,9
48423,22065,9
48435,48135,9
48439,48135,9
48439,48401,9
48441,48207,9
48441,48201,9
48441,48143,9
48441,48467,9
48449,22017,9
48451,48113,9
48453,48135,9
48459,48401,9
48467,48133,9
48475,48367,9
48491,48135,9
48499,48467,9
48499,48401,9
5019,48439,8
5035,48367,8
5099,48139,8
5119,48309,8
22017,48315,8
22017,48459,8
22027,48183,8
22031,48113,8
22055,48467,8
22061,48439,8
35009,48353,8
48003,48353,8
48029,48037,8
48029,48303,8
48059,48121,8
48059,48227,8
48073,48423,8
48093,48367,8
48103,48173,8
48113,48277,8
48113,48005,8
48113,48479,8
48113,40013,8
48115,48389,8
48121,48217,8
48133,48429,8
48135,48235,8
48141,48367,8
48165,48135,8
48181,48139,8
48183,48347,8
48183,22061,8
48183,48161,8
48201,48203,8
48201,48415,8
48201,48003,8
48201,48487,8
48203,5091,8
48209,48439,8
48213,48467,8
48215,48223,8
48221,48133,8
48221,48497,8
48223,48091,8
48223,48439,8
48229,48135,8
48229,48353,8
48229,48475,8
48231,48029,8
48231,48309,8
48231,22017,8
48231,48183,8
48231,48217,8
48251,48221,8
48301,48317,8
48329,48363,8
48329,48151,8
48335,48109,8
48339,48367,8
48339,48329,8
48347,48113,8
48349,48367,8
48349,48497,8
48363,48121,8
48367,22017,8
48367,48183,8
48383,48495,8
48389,48451,8
48389,48367,8
48389,35029,8
48397,48201,8
48401,48257,8
48401,22119,8
48409,48113,8
48423,48073,8
48423,48213,8
48429,48367,8
48433,48353,8
48439,48475,8
48439,48471,8
48439,48001,8
48439,48093,8
48439,48037,8
48439,48499,8
48441,48093,8
48449,48309,8
48453,48329,8
48459,48467,8
48461,48495,8
48475,48451,8
48479,48159,8
48479,48329,8
48479,48439,8
48485,48441,8
48495,48301,8
5035,48139,7
5035,48027,7
5059,48139,7
5085,48217,7
5091,48367,7
5119,48367,7
5123,48113,7
22017,22015,7
22031,48439,7
22033,48423,7
22055,48423,7
